,Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chase,433.0,402.69,346.4,35917.35
1,Bank of America,232.0,215.76,185.6,19244.4
2,Industrial and Commercial Bank of China,195.0,181.35,156.0,16175.25
3,Agricultural Bank of China,161.0,149.73,128.8,13354.95
4,HDFC Bank,158.0,146.94,126.4,13106.1
5,Wells Fargo,156.0,145.08,124.8,12940.2
6,HSBC Holdings PLC,149.0,138.57,119.2,12359.55
7,Morgan Stanley,141.0,131.13,112.8,11695.95
8,China Construction Bank,140.0,130.2,112.0,11613.0
9,Bank of China,137.0,127.41,109.6,11364.15
